name,street_address,city,state_abbr,zip,phone_no,status,expected_date,access,network,latitude,longitude,id_number,owner,fed_agency_type,fed_agency_name,open_date,ev_connector_types
Dan Wilder Nissan,97 Deer Park Rd,Port Angeles,WA,98362,360-452-9268,E,,Private,,48.102884,-123.342597,44149,P,,,3/15/11,J1772
Kroger Store #518,5665 E. Mockingbird,Dallas,TX,75206,888-998-2546,E,,Public,Blink Network,32.837337,-96.770536,47517,,,,,J1772
DC SOLAR,9900-9916 Lindley Ave,Los Angeles,CA,91330,888-758-4389,E,,Public,ChargePoint Network,34.2502889,-118.5270237,75114,,,,,J1772
Wayne State University - Parking Structure #4,555 E Canfield,Detroit,MI,48202,313-577-1979,E,,Public,,42.3559279,-83.055206,64731,P,,,11/15/14,J1772
Waikiki Sand Villa,2375 Ala Wai Blvd,Honolulu,HI,96815,808-922-4744,E,,Public,,21.278842,-157.823158,49009,P,,,6/30/12,J1772
50 POST OFFICE,50 Post Office Square,Boston,MA,2109,888-758-4389,E,,Public,ChargePoint Network,42.3553897,-71.0547719,71169,,,,,J1772
Loyola University - New Orleans,7214 St Charles Ave,New Orleans,LA,70118,,E,,Private,,29.9371899,-90.1268944,46855,P,,,8/31/11,J1772
RENAISSANCE TWR,1201 Pacific Ave,Dallas,TX,75223,888-758-4389,E,,Public,ChargePoint Network,32.7819816,-96.8019686,60349,,,,,J1772
Piolax,139 Etowah Industrial Court,Canton,GA,30114,888-998-2546,E,,Public,Blink Network,34.2455859,-84.471847,52365,,,,,J1772
Starbucks - Tesla,20673 Tracy Ave,Buttonwillow,CA,93206,877-798-3752,E,,Public,Tesla,35.400244,-119.3975212,74239,P,,,2/1/16,TESLA
City of Azusa,331 N Citrus Ave,Azusa,CA,91702,855-900-7584,E,,Public,Greenlots,34.12741778,-117.8903625,74142,LG,,,1/1/16,CHADEMO J1772COMBO
Court Street Ford,558 William Latham Sr Dr,Bourbonnais,IL,60914,815-939-9600,T,,TEMPORARILY UNAVAILABLE (Public),,41.161794,-87.885165,49170,P,,,,J1772
Stonewood Mall - Downey,251 Stonewood St,Downey,CA,90241,877-455-3833,E,,Public - Card key at all times,eVgo Network,33.93534851,-118.1208878,69346,,,,,CHADEMO J1772 J1772COMBO
Roush - Naples,3538 Plover Ave,Naples,FL,34117,,E,,Private,,26.15823,-81.674971,51257,P,,,3/15/13,J1772
Ahwahnee Hotel,1 Ahwahnee Dr,Yosemite Valley,CA,95386,801-559-4884,E,,Public,Tesla,37.745956,-119.574336,66931,SG,,,12/31/14,TESLA NEMA520
KCP&L,2250 E. Lincoln Ave. @ Walmart #34,Nevada,MO,64772,888-758-4389,E,,Public,ChargePoint Network,37.8335699,-94.3271914,70711,,,,,J1772
Ken Ganley Nissan,5180 Montville Dr,Medina,OH,44256,330-721-0500,E,,Private,,41.134257,-81.793779,45749,P,,,1/31/12,J1772
KIRKLAND,348 Kirkland Ave,Kirkland,WA,98033,888-758-4389,E,,Public,ChargePoint Network,47.6757469,-122.2029724,57447,,,,,NEMA520 J1772
Aloha Stadium,99-500 Salt Lake Blvd,Honolulu,HI,96818,808-483-2500,E,,Public,,21.34645,-157.91968,66910,P,,,1/1/15,J1772
Antrim 1844 Country House Hotel,30 Trevanion Rd,Taneytown,MD,21787,410-756-6812  877-798-3752,E,,Public,Tesla,39.654916,-77.1730675,68582,P,,,5/1/15,TESLA J1772
Pomfret Town Hall,5 Haven Rd,Pomfret,CT,6258,860-974-0191,E,,Public,,41.859648,-71.998608,73861,LG,,,7/21/15,J1772
Honda Motorwerks,500 4th St,LaCrosse,WI,54601,608-784-9280,E,,Public - Call ahead,,43.808262,-91.252255,53703,P,,,11/20/13,J1772
AMERICAN UNIV,4400 Massachusetts Ave NW,Washington,DC,20016,888-758-4389,E,,Public,ChargePoint Network,38.9392128,-77.0867615,64553,,,,,NEMA520 J1772
SCANSOURCE,6 Logue Ct,Greenville,SC,29615,888-758-4389,E,,Public,ChargePoint Network,34.8554115,-82.2476654,37058,,,,,NEMA520 J1772
City of Columbus,13 W 11th St,Columbus,GA,31901,855-900-7584,E,,Public,Greenlots,32.466375,-84.994049,68335,LG,,,1/1/14,CHADEMO J1772COMBO
Round Rock Nissan,3050 N IH-35,Round Rock,TX,78681,512-244-8500,E,,Public - Call ahead,,30.54205,-97.69265,39748,P,,,3/15/11,J1772
Grapevine Recreational Area,Daltons Drive,Grapevine,TX,76051,888-998-2546,E,,Public,Blink Network,32.979103,-97.054467,50897,,,,,J1772
Roberts Motors,4350 N Alby St,Alton,IL,62002,618-466-7220,E,,Public,,38.9217295,-90.1795597,51747,P,,,3/1/13,J1772
Lafontaine Nissan,2530 E Highland Rd,Highland,MI,48356,248-887-8900,E,,Public - Call ahead,,42.652932,-83.580487,49836,P,,,10/25/12,J1772
San Joaquin Valley Air Pollution Control District,1990 E Gettysburg Ave,Fresno,CA,93726,559-230-6000,E,,Public,,36.801411,-119.7881,49119,P,,,7/17/12,J1772
Nemet Motors,153-03 Hillside Ave,Jamaica,NY,11432,718-523-5858,E,,Private,,40.7075168,-73.8045108,44343,P,,,11/30/11,J1772
Sunshine Chevrolet,100 Thunderland Cir,Arden,NC,28704,,E,,Private,,35.4812843,-82.5647663,65512,P,,,10/1/14,J1772
EVSP WALGREENS,22930 Western Ave,Torrance,CA,90501,888-758-4389,E,,Public,ChargePoint Network,33.8175871,-118.3085058,69139,,,,,J1772
Mesa Main Library,64 E. 1st Street,Mesa,AZ,85201,888-998-2546,E,,Public,Blink Network,33.417273,-111.830484,49971,,,,,J1772
Napleton Nissan,1301 Indianapolis Blvd,Schererville,IN,46375,219-865-3800,E,,Private,,41.4976735,-87.4709712,47162,P,,,1/31/12,J1772
Nissan of Oakland,2735 Broadway,Oakland,CA,94611,510-588-2200,E,,Private,,37.820419,-122.261344,60337,P,,,1/31/12,J1772 CHADEMO
UMKC,5001 Oak St,Kansas City,MO,64110,888-758-4389,E,,Public,ChargePoint Network,39.035998,-94.581594,49032,,,,,J1772
Umstead Hotel and Spa,100 Woodland Pond Dr,Cary,NC,27513,919-447-4000  877-798-3752,E,,Public,Tesla,35.82973,-78.7646,47718,T,,,2/1/12,J1772 TESLA
5171 California #3,5171  California Ave,Irvine,CA,92617,888-998-2546,E,,Public,GE WattStation,33.6396087,-117.8548705,72687,,,,,J1772
Elite Nissan of Bergenfield,318 S Washington Ave,Bergenfield,NJ,7621,201-385-3600,E,,Private,,40.9172683,-73.9972053,45663,P,,,1/31/12,J1772
Peruzzi Nissan,165 Lincoln Hwy,Fairless Hills,PA,19030,215-943-6200,E,,Public - Call ahead,,40.181931,-74.863403,47757,P,,,1/31/12,J1772
ESSEX,825 E Evelyn Ave,Sunnyvale,CA,94086,888-758-4389,E,,Public,ChargePoint Network,37.371394,-122.0147574,69884,,,,,J1772
Westar Energy - Lawrence Energy Center,1250 N 1800 Rd,Lawrence,KS,66049,,E,,Private,,39.0067949,-95.269499,52912,T,,,1/1/13,J1772
Serramonte Nissan,650 Serramonte Blvd,Colma,CA,94014,650-994-1661,E,,Private,,37.675806,-122.461273,47599,P,,,3/15/11,J1772
The Mill Casino,3201 Tremont Ave,North Bend,OR,97459,800-953-4800,E,,Public,,43.3946676,-124.2195544,53982,P,,,11/1/13,J1772
Coggin Nissan at the Avenues,10859 Philips Hwy,Jacksonville,FL,32256,904-880-3000,E,,Private,,30.1725503,-81.5452976,46580,P,,,1/31/12,J1772
San Diego Gas and Electric - Carlsbad Facility,5016 Carlsbad Blvd,Carlsbad,CA,92008,,E,,Private,,33.133926,-117.334292,72347,P,,,6/1/15,J1772
NATIONAL GRID,222 Richmond St,Providence,RI,2903,888-758-4389,E,,Public,ChargePoint Network,41.819064,-71.408276,52821,,,,,J1772
CITYOFSANTAROSA,97 D St,Santa Rosa,CA,95404,888-758-4389,E,,Public,ChargePoint Network,38.4394132,-122.7112405,48143,,,,,NEMA520 J1772
City of Spartanburg - Municipal Parking Garage,130 E Saint John St,Spartanburg,SC,29306,864-596-2026,E,,Public,,34.9520415,-81.9315933,36710,LG,,,12/15/10,J1772
Chatsworth Metrolink Station,10046 Old Depot Plaza Rd,Chatsworth,CA,91311,800-371-5465,E,,Public,,34.2533868,-118.5988554,50424,P,,,12/31/14,J1772
EVSP WALGREENS,9621 Belair Rd,Nottingham,MD,21236,888-758-4389,E,,Public,ChargePoint Network,39.4131829,-76.4629937,68996,,,,,J1772
CARCHARGING,1 Pennsylvania Plaza,New York,NY,10119,888-758-4389,E,,Public,ChargePoint Network,40.75147,-73.9927795,56001,,,,,NEMA520 J1772
The Hay Adams - Tesla,800 16th St NW,Washington,DC,20006,202-638-6600  877-798-3752,E,,Public - Call ahead,Tesla,38.9005107,-77.0369492,72248,P,,,9/1/15,TESLA
EV CHARGER,64-74 NV-592,Las Vegas,NV,89109,888-758-4389,E,,Public,ChargePoint Network,36.1147874,-115.1733979,62226,,,,,J1772
Best Western - Tesla,555 S Orchard Ave,Ukiah,CA,95482,707-462-1514  877-798-3752,E,,Public,Tesla,39.1469019,-123.197782,74800,P,,,4/1/16,TESLA
Town of Basalt - Midland Spur,100 Midland Spur,Basalt,CO,81621,970-927-4701,E,,Public,,39.36902,-107.03572,63729,LG,,,6/1/14,J1772
OUC,65 W Washington St,Orlando,FL,32801,888-758-4389,E,,Public,ChargePoint Network,28.544092,-81.380449,45006,,,,,NEMA520 J1772
MBTA,280 Ivory St,Braintree,MA,2184,888-758-4389,E,,Public,ChargePoint Network,42.205989,-71.000792,48059,,,,,J1772
Kaiser - San Rafael,111 Montecillo,San Rafael,CA,94903,877-455-3833,E,,Public - Card key at all times,eVgo Network,38.00407028,-122.5546341,69487,,,,,CHADEMO
Inn At The Market,86 Pine Street,Seattle,WA,98101,800-663-5633,E,,Public,SemaCharge Network,47.6098122,-122.3413016,65034,,,,,J1772
Eagle Crest Resort,1590 Mountain Quail Dr,Redmond,OR,97756,541-923-2453,E,,Public - Call ahead,Tesla,44.2596433,-121.2626815,73750,P,,,2/1/16,TESLA J1772
KCP&L,11201 Renner Blvd @ US Enviromental Protection Agency,Lenexa,KS,66219,888-758-4389,E,,Public,ChargePoint Network,38.9258984,-94.7782879,74334,,,,,J1772
Hilton La Jolla Torrey Pines,10950 North Torrey Pines Road,La Jolla,CA,92037,888-998-2546,E,,Public,Blink Network,32.9015358,-117.2437714,47614,,,,,J1772
Red Hawk Casino,1 Red Hawk Pkwy,Placerville,CA,95667,530-677-7000,E,,Public,,38.69494,-120.906682,68151,LG,,,4/1/15,J1772
Baltimore Washington Medical Center - Visitors Center,300 Hospital Dr,Glen Burnie,MD,21061,410-787-4412,E,,Public,,39.139263,-76.62242,69897,P,,,3/1/15,NEMA520
Mcalvain Construction,1304 South Canyon RD,Ellensburg,WA,98926,888-998-2546,E,,Public,Blink Network,46.980381,-120.544372,74068,,,,,J1772
Benton Nissan,1834 US Highway 78 E,Oxford,AL,36203,256-831-8882,E,,Private,,33.6148266,-85.7999231,46695,P,,,1/31/12,J1772
Concordville Nissan,452 Wilmington W Chester Pike,Glen Mills,PA,19342,610-459-8900,E,,Private,,39.8658371,-75.5442656,47744,P,,,1/31/12,J1772
FREEDOM NISSAN,1095 Shelburne Road,South Burlington,VT,5403,888-758-4389,E,,Public,ChargePoint Network,44.4388342,-73.2109058,61730,,,,,CHADEMO
El Dorado County Government Center,2850 Fairlane Ct,Placerville,CA,95667,530-621-5300,E,,Public,,38.72799,-120.828,25522,P,,,5/15/04,J1772
Crowley Nissan,1451 Farmington Ave,Bristol,CT,6010,860-944-7766,E,,Public - Call ahead,,41.6992932,-72.8956037,46547,P,,,11/22/11,J1772 CHADEMO
Square One Mall,1201 Broadway,Saugus,MA,1906,877-455-3833,E,,Public - Card key at all times,eVgo Network,42.46118927,-71.02526855,69474,,,,,CHADEMO
UM PTS,646 W Pratt St,Baltimore,MD,21201,888-758-4389,E,,Public,ChargePoint Network,39.2863138,-76.6251238,43195,,,,,NEMA520 J1772
Wing Aviation Hanger - Tesla,8410 Larson St,Houston,TX,77061,866-944-9464  877-798-3752,E,,Public,Tesla,29.6492185,-95.2688903,75172,P,,,2/1/16,TESLA
Panera Bread - Tesla,3260 Niles Rd,St. Joseph,MI,49085,877-798-3752,E,,Public,Tesla,42.056717,-86.456695,53692,P,,,11/1/13,TESLA
Hines Warner Center,5700 Canoga Ave,Woodland,CA,91367,877-455-3833,E,,Public - Card key at all times,eVgo Network,34.17429733,-118.5970154,72622,,,,,J1772
Notre Dame - Purcell Pavilion,Holy Cross Dr,Notre Dame,IN,46556,,E,,Private,,41.695566,-86.232058,67986,P,,,9/1/14,J1772
WEST GERMAN BMW,500 Pennsylvania Ave,Fort Washington,PA,19034,888-758-4389,E,,Public,ChargePoint Network,40.134012,-75.2074839,60455,,,,,J1772
Bishop Square,1003 Bishop St,Honolulu,HI,96813,808-545-7500,E,,Public,,21.30905,-157.86036,66918,P,,,1/1/15,J1772
Pearson Ford,10650 N Michigan Rd,Zionsville,IN,46077,317-873-3333,E,,Public,,39.9416571,-86.2372927,52372,P,,,3/15/13,J1772
Best Western Plus Hartford Lodge - Tesla,150 Myrtle St,Sutherlin,OR,97479,541-459-1424  877-798-3752,E,,Public - Call ahead,Tesla,43.3877797,-123.3344516,67257,P,,,5/1/15,TESLA
Los Angeles County - Olive View UCLA Medical Center,14445 Olive View Dr,Sylmar,CA,91342,323-267-2023,E,,Public,,34.3257084,-118.4457761,63738,LG,,,10/1/14,J1772
GE WattStation 2,11640  Arbor St,Omaha,NE,68144,888-998-2546,E,,Private,GE WattStation,41.236426,-96.09555,72761,,,,,J1772
Simon-The Fashion Mall at Keystone,8702 Keystone Crossing,Indianapolis,IN,46240,877-455-3833,E,,Public - Card key at all times,eVgo Network,39.91423035,-86.10706329,69477,,,,,CHADEMO
"Walgreens - Lutherville, MD #12847",1801 York Road,Lutherville,MD,21093,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,39.4306377,-76.6208506,42725,,,,,J1772
Ince Parking Garage Culver City,9290 Culver Blvd,Culver City,CA,90232,877-455-3833,E,,Public - Card key at all times,eVgo Network,34.02523422,-118.3946228,70480,,,,,J1772COMBO
The Weekapaug Inn - Tesla,25 Spray Rock Rd,Westerly,RI,2891,401-637-7600  877-798-3752,E,,Public,Tesla,41.33052,-71.7503909,71315,P,,,10/1/15,TESLA
Kroger Store #308,11003 Shadow Creek Pkwy,Pearland,TX,77584,888-998-2546,E,,Public,Blink Network,29.583886,-95.387923,48237,,,,,J1772
Sorrel River Ranch Resort and Spa - Tesla,Mile 17 Highway 128,Moab,UT,84532,435-259-4642  877-798-3752,E,,Public,Tesla,38.698485,-109.397054,71344,P,,,10/1/15,TESLA
"First Avenue Parking, LLC",630 1st Avenue,New York,NY,10016,888-998-2546,E,,Private,Blink Network,40.745096,-73.971921,67177,,,,,J1772
The Dock - Rail Side,200 East Main Street,Stamford,CT,6614,877-455-3833,E,,Public - Card key at all times,eVgo Network,41.20277023,-73.11752319,71253,,,,,CHADEMO
"CFP II, LLC",240 E Illinois St,Chicago,IL,60611,888-758-4389,E,,Public,ChargePoint Network,41.8914805,-87.6206514,65015,,,,,J1772
Heritage Toyota,1620 Shelburne Rd,South Burlington,VT,5403,802-865-8200,E,,Public - Call ahead,,44.428788,-73.210218,70948,P,,,10/1/15,J1772
Lynchburg Nissan,18588 Forest Rd,Forest,VA,24551,434-385-7733,E,,Public - Call ahead,,37.386097,-79.244054,47555,P,,,1/31/12,J1772
Waikiki Beach Marriott,2552 Kalakaua Ave,Honolulu,HI,96815,808-922-6611,E,,Public,,21.2731229,-157.822788,41988,P,,,9/30/11,J1772
COD CITY HALL,1500 Marilla Street,Dallas,TX,75201,888-758-4389,E,,Public,ChargePoint Network,32.7762538,-96.7969118,67826,,,,,J1772
Pittsburgh Zoo,1 Wild Pl,Pittsburgh,PA,15206,412-365-2520,E,,Public,,40.484469,-79.922492,64338,P,,,6/12/13,J1772
CELEBRATION,1999 Central Park Dr,Okemos,MI,48864,888-758-4389,E,,Public,ChargePoint Network,42.727346,-84.421766,57993,,,,,J1772
Woodland Gateway Shopping Center,County Rd 102 & Maxwell Ave,Woodland,CA,95776,916-442-4600,E,,Public,,38.668736,-121.7287,35839,P,,,5/15/09,NEMA520 J1772
NATIONAL GRID,Suny at Albany,Albany,NY,12222,888-758-4389,E,,Public,ChargePoint Network,42.6883686,-73.8230666,53436,,,,,J1772
Bank of New York Mellon,135 Santilli Hwy,Everett,MA,2149,,E,,Private,,42.4046157,-71.0697944,72012,P,,,1/1/15,J1772
WHOLE FOODS MKT,1150 Ocean Ave,San Francisco,CA,94112,888-758-4389,E,,Public,ChargePoint Network,37.7238702,-122.4546242,50062,,,,,J1772
Loring Ramp,1330 Nicollet Ave,Minneapolis,MN,55403,612-349-4240,E,,Public,,44.9698324,-93.2778249,60310,LG,,,1/1/14,NEMA520
Ocean Air Recreation Center,4770 Fairport Way,San Diego,CA,92130,855-885-9571,E,,Public,,32.926682,-117.2173799,70884,LG,,,2/25/16,J1772
"Walgreens - Chula Vista, CA #6255",621 I Street,Chula Vista,CA,92220,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,32.6276409,-117.088748,71577,,,,,J1772
Fresh & Easy - Manhattan Beach,1700-C Rosecrans Ave,Manhattan Beach,CA,90266,877-455-3833,E,,Public - Card key at all times,eVgo Network,33.90143967,-118.3852615,70768,,,,,J1772
NRG eVgo - Walgreens Freedom Station,130 N Oakridge Dr,Hudson Oaks,TX,76087,877-455-3833,E,,Public - Card key at all times,eVgo Network,32.75774,-97.71054,50410,P,,,11/15/12,J1772 CHADEMO
Lodi Animals Service and Shelter,1345 W Kettleman Ln,Lodi,CA,95242,209-333-6874,E,,Public,,38.1155339,-121.2889381,51921,LG,,,3/19/13,J1772
Suntek Business Center - NPM,9450 SW Barnes Rd,Portland,OR,97086,888-998-2546,E,,Public,Blink Network,45.508692,-122.774947,45026,,,,,J1772
Fairview Town Hall,372 Town Place,Fairview,TX,75069,888-998-2546,E,,Public,Blink Network,33.13232,-96.64707,48788,,,,,J1772
Wright Automotive Group,10520 Perry Hwy,Wexford,PA,15090,724-935-4646,E,,Public - Call ahead,,40.610479,-80.053036,47796,P,,,1/31/12,J1772 CHADEMO
Bert Ogden Nissan,721 N Jackson Rd,McAllen,TX,78501,956-631-6666,E,,Public - Call ahead,,26.2067894,-98.203314,47533,P,,,1/31/12,J1772
AutoNation Nissan Pembroke Pines,8890 Pines Blvd,Pembroke Pines,FL,33024,954-949-0421,E,,Private,,26.007358,-80.263072,47672,P,,,3/15/11,J1772
Valley Nissan of Staunton,297 Lee Jackson Hwy,Staunton,VA,24401,540-886-3465,E,,Private,,38.1185725,-79.0687636,47576,P,,,1/31/12,J1772
Terrible Herbst - Centennial Center,6030 Centennial Center Blvd,Las Vegas,NV,89149,877-455-3833,E,,Public - Card key at all times,eVgo Network,36.27248764,-115.2640533,74853,,,,,J1772COMBO
CENTRAL PARKING - STATION 2,345  W 58th St,New York,NY,10019,888-998-2546,E,,Public,GE WattStation,40.768946,-73.98415,72950,,,,,J1772
City of Raleigh - Police Fleet Station,6716 Six Forks Rd,Raleigh,NC,27601,919-996-3030,E,,Private,,35.872238,-78.641278,40749,LG,,,7/17/11,NEMA520 J1772
Suburban Ford,37000 Highway 26,Sandy,OR,97055,503-668-5511,E,,Public,,45.4033135,-122.2857609,63646,P,,,8/1/14,J1772
Camden County Regional Library - Bellmawr Branch,35 East Browning Road,Bellmawr,NJ,8031,888-998-2546,E,,Public,Blink Network,39.8665027,-75.0775904,51808,,,,,J1772
ACUA - Wastewater: 1801 Absecon Blvd (Route 30),1801 Absecon Blvd,Atlantic City,NJ,8401,888-998-2546,E,,Public,Blink Network,39.382109,-74.449067,52574,,,,,J1772
FARMERS BANK,1590 4th St,Minden,NV,89423,888-758-4389,E,,Public,ChargePoint Network,38.9536037,-119.7635117,60173,,,,,J1772
CSU FULLERTON,800 N. State College,Fullerton,CA,92831,888-758-4389,E,,Public,ChargePoint Network,33.8794587,-117.883179,61092,,,,,CHADEMO
GEBHARDT BMW,4740 Valmont Rd,Boulder,CO,80301,888-758-4389,E,,Public,ChargePoint Network,40.0285291,-105.2426392,66649,,,,,J1772
Augusta Marriott at the Convention Center - Tesla,2 10th St,Augusta,GA,30901,706-722-8900  877-798-3752,E,,Public,Tesla,33.4784043,-81.9671228,72058,P,,,11/1/15,TESLA
Port City Nissan,120 Spaulding Tpke,Portsmouth,NH,3801,603-431-6500,E,,Private,,43.0772236,-70.7851839,44308,P,,,11/30/11,J1772
Duke Energy Progress  - Asheville,555 Brevard Rd,Asheville,NC,28806,,E,,Private,,35.55555,-82.601481,48679,T,,,6/15/12,J1772
Terrible Herbst - Southern Highlands,11330 Southern Highlands Parkway,Las Vegas,NV,89141,877-455-3833,E,,Public - Card key at all times,eVgo Network,35.98355484,-115.1912003,75380,,,,,J1772COMBO
Ameren Missouri,1901 Chouteau Ave,St. Louis,MO,63166,,E,,Private,,38.622711,-90.209564,41843,P,,,10/15/11,NEMA520 J1772
UCR,900 University Ave,Riverside,CA,92507,888-758-4389,E,,Public,ChargePoint Network,33.9700931,-117.3271078,53071,,,,,J1772
Pacific View Mall,3295 E Main St,Ventura,CA,93003,805-642-5530,E,,Public,,34.268,-119.2492,21608,P,,,5/30/02,J1772
MGE,1701 Monroe Street,Madison,WI,53711,888-758-4389,E,,Public,ChargePoint Network,43.0660286,-89.4151993,41522,,,,,NEMA520 J1772
HY-VEE,3900 W 24th Pl,Lawrence,KS,66047,888-758-4389,E,,Public,ChargePoint Network,38.9419594,-95.2893448,49675,,,,,J1772
Kleiver Armory,10000 NE 33rd Dr,Portland,OR,97211,888-998-2546,E,,Public,Blink Network,45.594995,-122.635197,51818,,,,,J1772
"Walgreens - Bel Air, MD #12748",1201 East Churchville Rd,Bel Air,MD,21014,800-663-5633,E,,Public - Card key at all times,SemaCharge Network,39.5416769,-76.3300768,42980,,,,,J1772
TAPPS,2213 Gerritsen Ave,Brooklyn,NY,11229,888-758-4389,E,,Public,ChargePoint Network,40.6015954,-73.9346045,67704,,,,,J1772
Mt. Lassen Park & Shingletown Campground - Tesla,7749 KOA Rd,Shingletown,CA,96088,530-474-3024  877-798-3752,E,,Public,Tesla,40.511228,-121.812163,70339,P,,,8/1/15,TESLA
BEAM CHARGING,127 E 83rd St,Manhattan,NY,10028,888-758-4389,E,,Public,ChargePoint Network,40.7778702,-73.9571915,38825,,,,,NEMA520 J1772
K&M Electric Supply,1075 Old Dixie Hwy,Vero Beach,FL,32960,772-770-2772,E,,Public,,27.6207683,-80.3939826,67288,T,,,5/1/13,J1772
Mission Inn,3649 Mission Inn Ave,Riverside,CA,92501,877-455-3833,E,,Public - Card key at all times,eVgo Network,33.98275757,-117.3731232,72668,,,,,J1772
City of Palm Springs - Convention Center,277 Avenida Caballeros,Palm Springs,CA,92262,760-323-8214,E,,Public,,33.8262181,-116.5380375,52528,LG,,,8/5/13,J1772
Black Mountain Public Safety Building,102 Montreat Rd,Black Mountain,NC,28711,828-419-9350,E,,Public,,35.619218,-82.320192,47189,LG,,,12/15/11,J1772
CNTYOFRIVERSIDE,3535 12th Street,Riverside,CA,92501,888-758-4389,E,,Public,ChargePoint Network,33.9775683,-117.3750517,7205,,,,,J1772
Destin Commons Mall,4300 Legendary Dr,Destin,FL,32541,850-337-8700,E,,Public,,30.390205,-86.426185,64934,P,,,9/24/14,J1772
Naples Nissan,3640 Pine Ridge Rd,Naples,FL,34109,239-643-3800,E,,Public - Call ahead,,26.2100255,-81.7441206,46617,P,,,1/31/12,J1772
DMC,3990 John R St,Detroit,MI,48201,888-758-4389,E,,Public,ChargePoint Network,42.3521965,-83.0568269,71504,,,,,J1772
